Manufacturer,Manufacturer Part Number,Digikey Part Number,Description
Maxim Integrated,MAX11200EEE+,MAX11200EEE+-ND,IC ADC 24BIT SIGMA-DELTA 16QSOP
Microchip Technology,ATSAMD09C13A-SSUT,ATSAMD09C13A-SSUTCT-ND,IC MCU 32BIT 8KB FLASH 14SOIC
Microchip Technology,MIC94310-JYMT-TR,576-4124-1-ND,IC REG LINEAR 2.5V 200MA 4TMLF
Texas Instruments,SA5532AD,2156-SA5532AD-ND,SA5532A DUAL LOW-NOISE OPERATION
Oupiin,2044-2X20G00SA,2553-2044-2X20G00SA-ND,"PCB SOCKET, DOUBLE ROW, 40 PIN,"
"Suntsu Electronics, Inc.",SWS83412D16-32.768KT,2388-SWS83412D16-32.768K-ND,CRYSTAL 32.7680KHZ 12.5PF SMD
Maxim Integrated,MAX6126AASA30+,,
Maxim Integrated,MAX6070BAUT30+ ,,
Diodes Incorporated,AP7340-33FS4-7,  AP7340-33FS4-7DITR-ND,  IC REG LINEAR 3.3V 150MA 4DFN
